date;1. open;2. high;3. low;4. close;5. volume
2021-05-25;498.55;500.4;489.35;493.05;3349.0
2021-05-21;481.35;494.45;479.85;481.4;1788.0
2021-05-20;457.0;477.4;456.9;474.95;1631.0
2021-05-19;464.0;467.15;441.65;459.8;4732.0
2021-05-18;474.95;485.7;462.75;479.2;2791.0
2021-05-17;492.3;492.3;464.25;464.45;2761.0
2021-05-14;483.95;487.95;471.1;474.8;2788.0
2021-05-13;484.95;500.0;464.65;467.65;2988.0
2021-05-12;498.05;511.2;492.95;499.95;1865.0
2021-05-11;512.8;515.4;474.6;510.4;7697.0
2021-05-10;555.6;555.6;523.6;526.3;3380.0
2021-05-07;548.6;561.3;545.1;549.1;1755.0
2021-05-06;558.7;572.5;540.0;544.9;2024.0
2021-05-05;563.7;569.8;558.3;561.1;1311.0
2021-05-04;569.9;572.4;549.9;552.5;1405.0
2021-05-03;590.9;591.3;564.8;564.8;1931.0
2021-04-30;556.9;593.7;548.7;586.8;2055.0
2021-04-29;581.2;581.2;552.7;558.3;1032.0
2021-04-28;585.0;586.0;573.6;580.1;2317.0
2021-04-27;602.9;604.7;583.5;586.7;3864.0
2021-04-26;607.8;619.2;600.4;609.5;1224.0
2021-04-23;599.8;610.9;591.2;605.6;1137.0
2021-04-22;615.1;625.5;602.0;602.0;1380.0
2021-04-21;588.0;606.6;584.1;602.5;709.0
2021-04-20;597.1;609.0;583.1;597.5;1184.0
2021-04-19;616.5;616.8;578.0;595.0;3196.0
2021-04-16;612.5;625.2;608.0;620.3;1973.0
2021-04-15;614.0;623.6;603.8;612.0;2292.0
2021-04-14;629.0;656.9;620.1;624.4;6910.0
2021-04-13;588.1;625.0;587.0;625.0;5149.0
2021-04-12;576.3;590.4;575.5;587.8;2793.0
2021-04-09;577.0;577.1;564.2;565.9;1131.0
2021-04-08;569.0;578.3;565.8;573.2;2367.0
2021-04-07;585.0;585.0;568.0;568.1;1957.0
2021-04-06;587.9;590.9;577.8;582.5;3482.0
2021-04-01;567.1;586.8;564.0;569.2;3997.0
2021-03-31;540.0;566.1;534.4;564.4;2344.0
2021-03-30;514.7;537.6;506.4;529.2;4241.0
2021-03-29;520.0;527.4;508.1;517.0;3964.0
2021-03-26;555.0;555.0;510.0;514.9;3371.0
2021-03-25;541.0;545.9;512.5;542.6;3912.0
2021-03-24;565.0;570.6;539.8;542.0;3789.0
2021-03-23;562.5;572.5;556.9;558.9;2073.0
2021-03-22;555.8;586.0;555.8;577.6;5631.0
2021-03-19;550.2;560.6;527.5;546.1;3223.0
2021-03-18;586.1;589.8;556.8;558.6;2315.0
2021-03-17;570.0;580.9;545.6;578.0;3785.0
2021-03-16;592.0;599.4;565.5;570.0;2612.0
2021-03-15;582.9;597.5;574.5;594.0;4981.0
2021-03-12;584.4;585.4;557.2;574.4;2624.0
2021-03-11;569.9;587.5;568.0;578.3;4877.0
2021-03-10;574.6;597.8;552.6;557.6;11024.0
2021-03-09;481.05;569.7;481.0;568.7;11848.0
2021-03-08;500.0;520.7;470.0;479.95;14382.0
2021-03-05;500.6;527.8;455.65;499.7;16917.0
2021-03-04;534.0;552.1;504.8;504.8;7962.0
2021-03-03;574.1;581.7;555.1;555.1;2423.0
2021-03-02;604.2;604.3;579.8;580.1;2359.0
2021-03-01;575.9;595.1;570.0;587.2;3991.0
2021-02-26;537.0;580.0;533.7;558.3;7350.0
2021-02-25;617.4;624.9;561.8;576.1;6159.0
2021-02-24;575.1;607.2;575.1;599.7;9673.0
2021-02-23;574.0;583.1;510.8;563.6;28954.0
2021-02-22;641.8;641.8;603.5;612.0;10674.0
2021-02-19;648.1;660.9;638.8;645.5;1934.0
2021-02-18;658.5;660.0;641.8;649.0;2356.0
2021-02-17;655.4;659.8;635.0;649.9;6294.0
2021-02-16;678.9;679.9;656.0;659.1;2354.0
2021-02-15;680.0;684.2;672.4;674.7;2759.0
2021-02-12;671.3;672.9;649.3;660.5;4135.0
2021-02-11;675.0;682.9;662.0;670.5;3169.0
2021-02-10;695.1;704.2;660.0;667.0;5910.0
2021-02-09;715.0;716.9;695.0;695.6;3086.0
2021-02-08;715.0;729.9;704.7;711.3;4223.0
2021-02-05;712.1;718.4;699.7;715.7;3132.0
2021-02-04;702.5;720.3;696.6;706.5;3953.0
2021-02-03;726.5;732.4;710.4;714.0;5611.0
2021-02-02;700.1;732.0;692.6;730.2;6821.0
2021-02-01;655.0;692.1;655.0;690.0;6280.0
2021-01-29;680.0;689.9;644.2;654.0;4992.0
2021-01-28;671.9;698.2;641.8;696.2;17652.0
2021-01-27;728.0;736.4;715.1;729.6;5147.0
2021-01-26;721.1;735.3;716.0;732.1;3456.0
2021-01-25;699.8;741.2;696.0;715.7;8054.0
2021-01-22;687.4;697.8;682.5;689.2;3497.0
2021-01-21;708.8;708.8;693.9;696.1;2046.0
2021-01-20;696.4;710.6;692.4;701.0;4133.0
2021-01-19;689.4;698.3;687.0;693.0;1630.0
2021-01-18;676.7;692.7;668.7;681.1;4746.0
2021-01-15;692.0;708.6;688.8;696.2;3965.0
2021-01-14;690.1;710.0;683.7;699.5;4625.0
2021-01-13;703.0;706.8;685.0;689.0;6430.0
2021-01-12;669.0;712.1;669.0;702.7;11244.0
2021-01-11;713.9;715.4;675.6;683.2;16812.0
2021-01-08;676.0;721.8;676.0;709.5;17681.0
2021-01-07;617.5;657.5;617.5;655.5;11050.0
2021-01-06;607.1;629.4;605.5;626.2;6333.0
2021-01-05;594.3;603.0;586.9;601.1;7222.0
2021-01-04;567.7;606.9;565.0;599.0;12456.0
2020-12-30;545.7;548.6;536.6;547.8;688.0
2020-12-29;544.9;548.9;534.0;542.9;2997.0
2020-12-28;541.9;555.5;539.7;546.6;6487.0
2020-12-23;520.4;531.5;510.8;529.2;5682.0
2020-12-22;532.9;539.3;504.3;520.1;8503.0
2020-12-21;548.2;552.2;530.0;541.4;12820.0
2020-12-18;529.1;558.3;527.7;550.0;13814.0
2020-12-17;504.1;528.4;504.1;524.9;6136.0
2020-12-16;515.4;522.2;497.95;512.1;5108.0
2020-12-15;529.6;533.2;513.7;522.9;6583.0
2020-12-14;497.75;528.3;497.75;524.9;8747.0
2020-12-11;517.0;517.0;492.9;502.9;8908.0
2020-12-10;481.2;514.6;470.05;506.5;15692.0
2020-12-09;535.1;542.9;491.6;491.6;11055.0
2020-12-08;533.8;550.7;506.6;533.0;15826.0
2020-12-07;495.2;524.7;488.6;524.7;8081.0
2020-12-04;487.1;493.05;484.1;488.5;5375.0
2020-12-03;480.15;492.5;480.0;490.1;7427.0
2020-12-02;475.1;481.6;447.85;462.6;11028.0
2020-12-01;493.1;499.95;477.15;483.65;5995.0
2020-11-30;492.6;504.2;461.3;486.1;9860.0
2020-11-27;478.5;500.0;471.75;490.85;7079.0
2020-11-26;480.65;482.5;475.2;479.8;4312.0
2020-11-25;476.35;483.75;455.75;478.1;15436.0
2020-11-24;445.9;464.5;443.0;464.5;13401.0
2020-11-23;413.2;443.85;413.2;440.5;7954.0
2020-11-20;418.95;422.4;412.15;413.95;6333.0
2020-11-19;400.1;429.0;400.1;423.95;11175.0
2020-11-18;375.0;411.55;375.0;408.85;11398.0
2020-11-17;383.0;392.65;365.3;375.5;142138.0
2020-11-16;349.95;351.35;342.35;343.15;28298.0
2020-11-13;347.15;349.8;339.95;340.95;2364.0
2020-11-12;357.35;357.35;349.3;350.0;1461.0
2020-11-11;348.05;355.05;348.0;353.25;2674.0
2020-11-10;360.95;363.2;337.05;347.6;8264.0
2020-11-09;377.1;381.05;365.1;367.75;6909.0
2020-11-06;368.0;368.85;357.85;360.75;2671.0
2020-11-05;364.0;371.6;359.9;365.85;4628.0
2020-11-04;368.75;373.4;352.9;358.2;5839.0
2020-11-03;348.05;364.0;343.0;360.35;2520.0
2020-11-02;333.2;348.5;331.5;337.9;3257.0
2020-10-30;340.45;348.65;325.85;332.0;6469.0
2020-10-29;347.05;357.5;346.0;353.7;37225.0
2020-10-28;359.3;359.3;346.05;347.95;4338.0
2020-10-27;350.05;362.7;350.05;358.75;2627.0
2020-10-26;347.1;358.9;344.15;349.5;4954.0
2020-10-23;363.9;363.9;344.75;351.0;6667.0
2020-10-22;373.9;377.3;359.9;365.3;8097.0
2020-10-21;360.05;364.05;354.4;360.1;4098.0
2020-10-20;368.25;373.5;356.0;360.55;4462.0
2020-10-19;378.55;384.0;367.25;370.65;3897.0
2020-10-16;380.2;387.95;378.85;382.2;3444.0
2020-10-15;383.9;389.9;377.75;382.25;9114.0
2020-10-14;380.05;395.5;379.0;395.5;64020.0
2020-10-13;369.1;381.4;369.1;378.45;45352.0
2020-10-12;368.5;376.95;368.05;376.95;43184.0
2020-10-09;366.0;367.0;362.0;366.45;36904.0
2020-10-08;366.75;372.5;363.7;365.7;52296.0
2020-10-07;350.9;365.4;350.3;364.05;61623.0
2020-10-06;357.85;363.0;350.6;356.6;56119.0
2020-10-05;358.45;366.95;357.0;358.95;84589.0
2020-10-02;361.05;374.25;357.0;357.0;104865.0
2020-10-01;369.15;380.95;367.65;379.7;34940.0
2020-09-30;354.85;370.0;352.6;365.65;52328.0
2020-09-29;363.7;365.0;347.5;364.1;62561.0
2020-09-28;356.0;367.55;354.4;359.95;77469.0
2020-09-25;340.0;350.9;331.0;345.85;108065.0
2020-09-24;318.0;341.1;303.3;338.2;161168.0
2020-09-23;331.4;352.1;328.5;333.2;155252.0
2020-09-22;357.0;372.85;356.65;368.95;168907.0
2020-09-21;379.0;385.05;350.0;376.45;149397.0
2020-09-18;359.7;379.35;358.15;368.1;101502.0
2020-09-17;368.25;374.35;347.0;360.8;134224.0
2020-09-16;387.8;388.45;364.55;375.0;163708.0
2020-09-15;361.75;380.5;357.3;379.85;168753.0
2020-09-14;325.0;344.9;315.6;341.5;102337.0
2020-09-11;325.1;327.4;306.0;309.95;162395.0
